,head,head_replaced,head_translated
10729,kitchen table,kitchen table,厨房餐桌
10730,shools,shools,肖尔斯
10731,rod in,rod in,杆在
10732,pepper and salt,pepper and salt,胡椒粉和盐
10733,displays,displays,显示
10734,boggle,boggle,困惑
10735,race bib,race bib,种族围兜
10736,passes,passes,通行证
10737,sectional,sectional,剖面的
10738,brain cells,brain cells,脑细胞
10739,laniard,laniard,拉尼亚德
10740,new coat,new coat,新外套
10741,wallet pouch,wallet pouch,钱包袋
10742,regatta,regatta,赛艇会
10743,healthy child,healthy child,健康儿童
10744,applicant,applicant,申请人
10745,luggage tag,luggage tag,行李牌
10746,suguaros,suguaros,苏瓜罗斯群岛
10747,party host,party host,晚会主持人
10748,good dealer,good dealer,好商人
10749,plane seat,plane seat,飞机座椅
10750,area rugs,area rugs,面积地毯
10751,cell phone contract,cell phone contract,手机合约
10752,waste bin,waste bin,垃圾箱
10753,toaster,toaster,烤面包机
10754,team jersey,team jersey,队服
10755,sample,sample,样本
10756,conic section,conic section,圆锥截线
10757,energy bars,energy bars,能量棒
10758,winter ware,winter ware,冬具
10759,hair pins,hair pins,发夹
10760,recieving letter,recieving letter,收到信
10761,county highway,county highway,县乡公路
10762,handheld vacuum,handheld vacuum,手持式吸尘器
10763,extra credit assignments,extra credit assignments,额外学分分配
10764,wifi password,wifi password,WiFi密码
10765,wine grader,wine grader,葡萄酒分级机
10766,decoration,decoration,装饰
10767,pianoforte,pianoforte,钢琴
10768,panel,panel,面板
10769,old meat,old meat,老肉
10770,wiper blades,wiper blades,刮水器刮片
10771,chromebook,chromebook,Chromebook
10772,gascan,gascan,煤气罐
10773,deposit evelope,deposit evelope,伊夫洛普矿床
10774,pot of soup,pot of soup,汤锅
10775,paris,paris,巴黎
10776,stetoscope,stetoscope,听诊器
10777,bamboo,bamboo,竹子
10778,ressources,ressources,资源
10779,gas mask,gas mask,防毒面具
10780,social security card,social security card,社会保障卡
10781,aerobics,aerobics,有氧运动
10782,spare wheel,spare wheel,备用轮胎
10783,spender,spender,花钱…的人
10784,inventory,inventory,库存
10785,nicnack,nicnack,尼纳克
10786,database,database,数据库
10787,hand sweeper,hand sweeper,清扫车
10788,thc,thc,THC
10789,omlet,omlet,奥姆莱特
10790,death certificate,death certificate,死亡证明书
10791,form,form,形式
10792,go to grocery store,go to grocery store,去杂货店
10793,dustbin,dustbin,垃圾箱
10794,growth,growth,增长
10795,employment,employment,雇用
10796,seat belt,seat belt,安全带
10797,wild card,wild card,通配符
10798,seashell,seashell,海贝壳
10799,sofa,sofa,沙发
10800,detergent,detergent,洗涤剂
10801,wages,wages,工资
10802,climbing apparatus,climbing apparatus,攀登器材
10803,name placards,name placards,姓名标语牌
10804,neighbourhood,neighbourhood,街区
10805,spatula,spatula,铲
10806,leaves,leaves,树叶
10807,money,money,钱
10808,smell of food,smell of food,食物的气味
10809,male,male,男性
10810,no person,no person,没有人
10811,piece of chalk,piece of chalk,一支粉笔
10812,apple,apple,苹果
10813,holy word of god,holy word of god,上帝的圣言
10814,wagon,wagon,戒酒
10815,written out budget,written out budget,书面预算
10816,handlbe,handlbe,韩德贝
10817,bobby,bobby,警察
10818,student loan,student loan,学生贷款
10819,oreo,oreo,奥利奥
10820,fireman,fireman,消防队员
10821,writing utensils,writing utensils,书写用具
10822,get well card,get well card,领取健康卡
10823,paperback book,paperback book,平装书
10824,beard,beard,胡子
10825,saucepan,saucepan,深煮锅
10826,quarters,quarters,宿舍
10827,interrigator,interrigator,插入器
10828,skate board,skate board,滑板
10829,nail file,nail file,指甲锉
10830,butter knife,butter knife,黄油刀
10831,give,give,给
10832,vaccine,vaccine,疫苗
10833,curtain,curtain,窗帘
10834,fluid,fluid,液体
10835,earphones,earphones,耳机
10836,display cabinet,display cabinet,陈列柜
10837,mathmatician,mathmatician,美学家
10838,high rise,high rise,高楼
10839,file holder,file holder,档案持有人
10840,social security cards,social security cards,社会保障卡
10841,more quarters,more quarters,更多宿舍
10842,panic room,panic room,惊魂密室
10843,businessmen,businessmen,商人
10844,satelite dish,satelite dish,卫星菜
10845,big bill,big bill,大账单
10846,creamer,creamer,小奶油壶
10847,ficus in pot,ficus in pot,盆栽榕树
10848,barkeeper,barkeeper,酒吧招待
10849,new tire,new tire,新轮胎
10850,amalthea,amalthea,木卫五
10851,beautiful gurl face,beautiful gurl face,漂亮的gurl脸
10852,cast,cast,投掷
10853,tram,tram,有轨电车
10854,sing in choir,sing in choir,唱诗班唱歌
10855,tuxedo,tuxedo,无尾礼服
10856,kosher delicatessen,kosher delicatessen,犹太熟食店
10857,moneu,moneu,摩纳哥
10858,hooker,hooker,妓女
10859,phones,phones,电话
10860,cilantro,cilantro,芫荽叶
10861,catapillars,catapillars,弹射器
10862,friendship,friendship,友谊
10863,license plate,license plate,车牌
10864,black monolith,black monolith,黑色巨石
10865,paraiba,paraiba,帕拉伊巴
10866,mayonase,mayonase,蛋黄酱酶
10867,diamond ring,diamond ring,钻石戒指
10868,mask,mask,面具
10869,poverty,poverty,贫困
10870,pillows,pillows,枕头
10871,holding,holding,举办
10872,rubber band,rubber band,橡皮圈
10873,compote,compote,蜜饯
10874,microscope set,microscope set,显微镜装置
10875,beer,beer,啤酒
10876,horseman,horseman,骑马的人
10877,paraphanalia,paraphanalia,随身用品
10878,metling ice cube,metling ice cube,梅特林冰块
10879,gay men,gay men,男同性恋者
10880,kinetic energy,kinetic energy,动能
10881,chameleon,chameleon,变色龙
10882,astrally project,astrally project,星体工程
10883,baseball bat,baseball bat,棒球棒
10884,business insurance,business insurance,商业保险
10885,guru,guru,领袖
10886,amoxicillin,amoxicillin,阿莫西林
10887,grader,grader,…年级学生
10888,zip lock bag,zip lock bag,拉链锁袋
10889,finish book,finish book,完成书
10890,smallpox,smallpox,天花
10891,sneakers,sneakers,运动鞋
10892,hot water,hot water,热水
10893,convertible,convertible,可转换的
10894,truck keys,truck keys,卡车钥匙
10895,textbook,textbook,教科书
10896,record producer,record producer,唱片制作人
10897,shaman,shaman,萨满
10898,gatorade,gatorade,佳得乐
10899,tacklebox,tacklebox,铲斗箱
10900,lottery machione,lottery machione,马基翁彩票
10901,lightswitch,lightswitch,电灯开关
10902,wash rag,wash rag,洗抹布
10903,pleasant room,pleasant room,舒适的客房
10904,wetsuit,wetsuit,潜水衣
10905,water faucet,water faucet,水龙头
10906,tap water,tap water,自来水
10907,collector,collector,收集者
10908,birthday party invite,birthday party invite,生日派对邀请
10909,posterboard,posterboard,后置板
10910,discover truth,discover truth,发现真相
10911,buckle,buckle,搭扣
10912,spray hose,spray hose,喷淋软管
10913,cad,cad,无赖
10914,repair umbrella,repair umbrella,修理雨伞
10915,left foot,left foot,左脚
10916,cupboard door,cupboard door,柜门
10917,pisser,pisser,皮塞
10918,artificial intelligence,artificial intelligence,人工智能
10919,drugs,drugs,毒品
10920,bike helmet,bike helmet,自行车头盔
10921,gong,gong,锣
10922,dissident,dissident,持不同政见者
10923,bacon,bacon,培根
10924,vermicide,vermicide,杀虫药
10925,gravel,gravel,砾石
10926,visit art gallery,visit art gallery,参观艺术画廊
10927,delicatessen counter,delicatessen counter,熟食柜台
10928,hard object,hard object,硬物
10929,cork screw,cork screw,软木螺丝
10930,cleaning spray,cleaning spray,清洁喷雾
10931,letter,letter,信
10932,onawa,onawa,onawa
10933,canvas bag,canvas bag,帆布包
10934,chocolate,chocolate,巧克力
10935,crafe,crafe,克拉夫
10936,drum sticks,drum sticks,鼓棒
10937,dildo,dildo,假阳具
10938,contestant number,contestant number,参赛者编号
10939,work box office,work box office,工作票房
10940,string bass,string bass,低音提琴
10941,training materials,training materials,培训材料
10942,food scraps,food scraps,食物残渣
10943,family court judge,family court judge,家事法庭法官
10944,prince,prince,王子
10945,celibate,celibate,独身的
10946,each hand,each hand,每只手
10947,saple gun,saple gun,萨普手枪
10948,pedal,pedal,踏板
10949,cavort in nude,cavort in nude,裸体艺术
10950,good scientist,good scientist,好科学家
10951,hit bottle,hit bottle,打瓶子
10952,papers and books,papers and books,报纸和书籍
10953,impatience,impatience,不耐烦
10954,pointing stick,pointing stick,指向杆
10955,bean bag chair,bean bag chair,豆袋椅
10956,reigns,reigns,统治
10957,kayak,kayak,皮艇
10958,start fire,start fire,开火
10959,motorcyle,motorcyle,摩托车手
10960,drink alcohol,drink alcohol,喝酒
10961,roasting pan,roasting pan,烤盘
10962,vitamins,vitamins,维生素
10963,mango,mango,芒果
10964,cow,cow,母牛
10965,wearpon,wearpon,wearpon
10966,sideshow,sideshow,助兴表演
10967,hanger to hold blouse,hanger to hold blouse,挂上衣的衣架
10968,braids,braids,辫子
10969,daypack,daypack,daypack
10970,electronics,electronics,电子学
10971,judge robe,judge robe,洛贝法官
10972,amway,amway,安利
10973,zippered pocket,zippered pocket,拉链口袋
10974,curious person,curious person,好奇的人
10975,water snake,water snake,水蛇
10976,napkin holder,napkin holder,餐巾架
10977,cribs,cribs,婴儿床
10978,moth,moth,蛾
10979,jailer,jailer,狱卒
10980,salivary gland,salivary gland,涎腺
10981,lizand,lizand,蜥蜴
10982,cpu,cpu,中央处理器
10983,blueberry,blueberry,蓝莓
10984,footprint,footprint,脚印
10985,buttercup,buttercup,毛茛
10986,polish remover,polish remover,去光剂
10987,washington monument,washington monument,华盛顿纪念碑
10988,tab,tab,突耳
10989,stress ball,stress ball,压力球
10990,lithosphere,lithosphere,岩石圈
10991,sometimes for sale,sometimes for sale,有时出售
10992,collection,collection,募捐
10993,reservationist,reservationist,保留主义者
10994,device,device,设备
10995,chinese restaurant,chinese restaurant,中餐厅
10996,ice skate,ice skate,溜冰鞋
10997,firewatcher,firewatcher,防火员
10998,cigarette lighter,cigarette lighter,打火机
10999,cable box,cable box,电缆盒
11000,travel mug,travel mug,旅行泥
11001,manual,manual,手册
11002,beanbag chair,beanbag chair,豆袋椅
11003,deleted scenes,deleted scenes,删除场景
11004,gardner,gardner,加德纳
11005,persistent friend,persistent friend,执着的朋友
11006,hay bales,hay bales,干草捆
11007,contact email,contact email,联络电邮
11008,gum disease,gum disease,龈疾病
11009,black and white soccer ball,black and white soccer ball,黑白足球
11010,wealth of knowledge,wealth of knowledge,丰富的知识
11011,superstision,superstision,迷信
11012,secluded place,secluded place,僻静的地方
11013,youtube video,youtube video,YouTube视频
11014,philosopher,philosopher,哲学家
11015,test,test,试验
11016,forgetful child,forgetful child,健忘的孩子
11017,pregnant lady,pregnant lady,孕妇
11018,have cold,have cold,感冒
11019,instrument organ,instrument organ,仪器管风琴
11020,law book,law book,法律书籍
11021,run out of steam,run out of steam,丧失热情
11022,premises,premises,营业场所
11023,detective,detective,侦探
11024,appreciation card,appreciation card,答谢卡
11025,some,some,一些
11026,instrument case,instrument case,仪器盒
11027,psychiatrist,psychiatrist,精神病学家
11028,cell phone service,cell phone service,手机服务
11029,mochi,mochi,麻糬
11030,financial resources,financial resources,财政资源
11031,written warning,written warning,书面警告
11032,carnivore,carnivore,食肉动物
11033,amber vial,amber vial,琥珀瓶
11034,night vision googles,night vision googles,夜视谷歌
11035,animal brush,animal brush,动物毛刷
11036,subway token,subway token,地铁代币
11037,gallery visitor,gallery visitor,参观画廊
11038,wheat,wheat,小麦
11039,twenty dollars,twenty dollars,二十美元
11040,war criminal,war criminal,战犯
11041,grocery sack,grocery sack,杂货袋
11042,bass fiddle,bass fiddle,低音小提琴
11043,jacket pocket,jacket pocket,上衣口袋
11044,wait on line,wait on line,在线等候
11045,action film,action film,动作片
11046,paypal account,paypal account,贝宝账户
11047,jewler,jewler,尤勒
11048,saddle bags,saddle bags,马鞍袋
11049,one twin,one twin,一对双胞胎
11050,mouth guard,mouth guard,护口器
11051,new york,new york,纽约
11052,frozen water cubes,frozen water cubes,冷冻水立方
11053,hard hat,hard hat,安全帽
11054,divider,divider,分隔物
11055,food and merchandise,food and merchandise,食品和商品
11056,amazon payments account,amazon payments account,亚马逊支付账户
11057,display,display,显示
11058,champagne glass,champagne glass,香槟杯
11059,contact information,contact information,联系信息
11060,pajams,pajams,帕果斯
11061,marinade,marinade,腌泡汁
11062,frosting,frosting,糖霜
11063,list of candidates,list of candidates,候选人名单
11064,materials,materials,材料
11065,gravestone,gravestone,墓碑
11066,apps,apps,应用程序
11067,orchestra pit,orchestra pit,乐池
11068,eyeball,eyeball,眼球
11069,book of witchcraft,book of witchcraft,巫术之书
11070,work out clothes,work out clothes,做衣服
11071,highway patrolman,highway patrolman,公路巡警
11072,costume,costume,服装
11073,lap top,lap top,笔记本电脑
11074,smoke dope,smoke dope,吸大麻
11075,nifty outfit,nifty outfit,漂亮的衣服
11076,hound,hound,猎犬
11077,cranberry chutney,cranberry chutney,蔓越莓酸辣酱
11078,fatigues,fatigues,疲劳
11079,mansard style,mansard style,曼萨德风格
11080,grid,grid,网格
11081,researcher,researcher,研究员
11082,camping stove,camping stove,野营炉
11083,quiet,quiet,安静的
11084,auger,auger,螺旋钻
11085,timesheet,timesheet,时间表
11086,dumbbell,dumbbell,哑铃
11087,watermellon,watermellon,沃特梅隆
11088,bag of beans,bag of beans,一袋豆子
11089,untensils,untensils,untensils
11090,mixing bowel,mixing bowel,混合肠管
11091,show horse,show horse,秀马
11092,pajammas,pajammas,帕贾马斯
11093,waterproof clothing,waterproof clothing,防水服
11094,dust particles,dust particles,尘埃粒子
11095,sick child,sick child,患病儿童
11096,copy machine,copy machine,复印机
11097,colored pen,colored pen,彩笔
11098,language book,language book,语文书
11099,ceara,ceara,塞阿拉
11100,walk outside,walk outside,出去走走
11101,dice game,dice game,骰子游戏
11102,see form,see form,见表格
11103,mean parents,mean parents,刻薄的父母
11104,supermarket,supermarket,超级市场
11105,earn money,earn money,赚钱
11106,safety chain,safety chain,安全链
11107,car window,car window,车窗
11108,coupons,coupons,优惠券
11109,tram ticket,tram ticket,电车票
11110,tower,tower,塔
11111,cigerettee,cigerettee,Cigrettee
11112,carpet in,carpet in,地毯
11113,job hunter,job hunter,找工作的人
11114,table clothes,table clothes,桌布
11115,ideal place,ideal place,理想之地
11116,close friend,close friend,亲密的朋友
11117,match strip,match strip,火柴条
11118,outdoor shoes,outdoor shoes,户外鞋
11119,old american flag,old american flag,旧美国国旗
11120,french horn,french horn,法国号
11121,tuning fork,tuning fork,音叉
11122,earth,earth,地球
11123,road or water,road or water,道路或水
11124,onions,onions,洋葱
11125,subway car,subway car,地铁车厢
11126,nightgown,nightgown,睡衣
11127,travel guide,travel guide,旅行指南
11128,exam,exam,考试
11129,good captain,good captain,好船长
11130,hotdog,hotdog,热狗
11131,podium,podium,讲台
11132,student id card,student id card,学生证
11133,kiev,kiev,基辅
11134,popcorn shop,popcorn shop,爆米花店
11135,teabags,teabags,袋泡茶
11136,commercial,commercial,商业的
11137,related item,related item,相关项目
11138,father,father,父亲
11139,jockies,jockies,运动员
11140,suitcases,suitcases,手提箱
11141,closet rod,closet rod,衣橱杆
11142,clarinet,clarinet,单簧管
11143,chessplayer,chessplayer,棋盘手
11144,plumbing tools,plumbing tools,管道工具
11145,covering,covering,遮盖物
11146,anticonvulsant,anticonvulsant,抗惊厥药
11147,basin with drain,basin with drain,带排水沟的水池
11148,spell,spell,拼写
11149,cash register,cash register,现金出纳机
11150,internal combustion engine,internal combustion engine,内燃机
11151,skater,skater,溜冰者
11152,fat peoploe,fat peoploe,肥胖的人
11153,indoor object,indoor object,室内物体
11154,frozen yogurt,frozen yogurt,冷冻酸奶
11155,bottle of beer,bottle of beer,一瓶啤酒
11156,eat,eat,吃
11157,duffle bag,duffle bag,行李袋
11158,lampost,lampost,lampost
11159,english alphabet,english alphabet,英文字母表
11160,compound molecule,compound molecule,复合分子
11161,gentelman,gentelman,根特曼
11162,mason,mason,石匠
11163,new suit,new suit,新西装
11164,pamphet,pamphet,小册子
11165,vent,vent,发泄
11166,climbing gear,climbing gear,攀登装备
11167,future tense,future tense,将来时
11168,bubbles,bubbles,泡
11169,study,study,研究
11170,mouth rinse,mouth rinse,漱口
11171,corn syrup,corn syrup,玉米糖浆
11172,pussy,pussy,猫咪
11173,hard plastic,hard plastic,硬质塑料
11174,jet fuel,jet fuel,喷气燃料
11175,stud finder,stud finder,螺柱探测仪
11176,ambian,ambian,安边
11177,flotation gear,flotation gear,浮选装置
11178,every female kangaroo,every female kangaroo,每只雌性袋鼠
11179,passwords,passwords,密码
11180,lamp,lamp,灯
11181,budget,budget,预算
11182,visor,visor,护面
11183,make-up,make-up,化妆
11184,fitness tracker,fitness tracker,健身追踪器
11185,extension pole,extension pole,延伸极
11186,tick,tick,打钩
11187,analysis,analysis,分析
11188,brace,brace,支撑
11189,payment terminal,payment terminal,付款终端机
11190,good view of earth,good view of earth,地球美景
11191,rotten food,rotten food,腐烂的食物
11192,electric toothbrush,electric toothbrush,电动牙刷
11193,mastercards,mastercards,万事达卡
11194,collection plate,collection plate,收集盘
11195,tanker,tanker,油轮
11196,indicator light,indicator light,指示灯
11197,mood,mood,情绪
11198,hood,hood,面罩
11199,typical chair,typical chair,典型的椅子
11200,part-time job,part-time job,兼职工作
11201,telephone,telephone,电话
11202,intuition,intuition,直觉
11203,orifice,orifice,孔
11204,fascia,fascia,招牌
11205,rice grains,rice grains,米粒
11206,room,room,房间
11207,cough drop,cough drop,咳嗽药
11208,emt,emt,紧急医疗小组
11209,fly-swatter,fly-swatter,苍蝇拍
11210,drink liquor,drink liquor,喝酒
11211,pie charts,pie charts,饼状图
11212,aurora,aurora,曙光
11213,hut in the desert,hut in the desert,沙漠中的小屋
11214,housecoat,housecoat,家居袍
11215,strong swat of hand,strong swat of hand,有力的打击
11216,good lawyer,good lawyer,好律师
11217,laundry bag,laundry bag,洗衣袋
11218,medical equipment,medical equipment,医疗设备
11219,water cannister,water cannister,水罐罐罐
11220,h20,h20,H20
11221,business,business,商业
11222,ratchet,ratchet,棘轮
11223,work with computer,work with computer,使用电脑
11224,classic car,classic car,老爷车
11225,compact flash card,compact flash card,紧凑型闪存卡
11226,loose clothing,loose clothing,宽松的衣服
11227,easle,easle,easle
11228,twelve year old girl,twelve year old girl,十二岁女孩
11229,bologna,bologna,博洛尼亚大红肠
11230,oak,oak,橡木
11231,sage,sage,圣人
11232,large trashcan,large trashcan,大型垃圾桶
11233,wristwatch,wristwatch,手表
11234,baking soda,baking soda,碳酸氢钠
11235,tablets and shots,tablets and shots,药片和针剂
11236,asperin,asperin,阿斯伯格综合症
11237,some screws,some screws,一些螺丝钉
11238,old clothrs,old clothrs,老克洛斯
11239,song notes,song notes,歌曲注释
11240,lockbox,lockbox,保险箱
11241,return to work,return to work,重返工作岗位
11242,credit card reader,credit card reader,信用卡读卡器
11243,medical id,medical id,医疗身份证
11244,bath tub,bath tub,浴盆
11245,cola,cola,可乐
11246,knees,knees,膝盖
11247,puppy food,puppy food,幼犬食物
11248,ingredients,ingredients,配料
11249,sociopath,sociopath,反社会者
11250,confection,confection,甜点
11251,financial resource,financial resource,财政资源
11252,chess pawn,chess pawn,象棋棋子
11253,work clothes,work clothes,工作服
11254,election,election,选举
11255,mat,mat,垫
11256,pry bar,pry bar,撬棒
11257,sporting equipment,sporting equipment,运动器材
11258,can of mace,can of mace,狼牙棒罐头
11259,undertaker,undertaker,殡葬承办人
11260,commit to memory,commit to memory,牢记
11261,wood pieces,wood pieces,木片
11262,swim,swim,游泳
11263,candlestick,candlestick,烛台
11264,comedy show,comedy show,喜剧表演
11265,lemur in tree,lemur in tree,树上的狐猴
11266,barrow island,barrow island,巴罗岛
11267,prescription,prescription,处方
11268,gaffer,gaffer,领班
11269,gurney,gurney,轮床
11270,bottled drinks,bottled drinks,瓶装饮料
11271,good player,good player,好球员
11272,shawl,shawl,披肩
11273,tennents,tennents,tennents
11274,seldom worth effort,seldom worth effort,很少值得努力
11275,night vision monocular,night vision monocular,夜视单目
11276,coursebook,coursebook,教科书
11277,measure cup,measure cup,量杯
11278,meterman,meterman,美特曼
11279,chap stick,chap stick,棒子
11280,tap,tap,水龙头
11281,arizonan,arizonan,亚利桑那州
11282,courier company,courier company,速递公司
11283,raffle ticket,raffle ticket,抽奖券
11284,foam,foam,起泡沫
11285,malteds,malteds,马尔泰兹
11286,old purse,old purse,旧钱包
11287,different costume,different costume,不同的服装
11288,water pump and tank,water pump and tank,水泵和水箱
11289,mailbox,mailbox,邮筒
11290,covers,covers,封面
11291,mortar,mortar,迫击炮
11292,icing,icing,结冰
11293,coverletter,coverletter,包函
11294,veil,veil,面纱
11295,clean sheet,clean sheet,清洁床单
11296,cardboard container,cardboard container,硬纸板容器
11297,oil can,oil can,油罐
11298,lasagna noodles,lasagna noodles,千层面
11299,press release,press release,新闻稿
11300,protester,protester,抗议者
11301,french,french,法国人
11302,ticket pad,ticket pad,售票处
11303,thermal bag,thermal bag,热袋
11304,cash box,cash box,钱箱
11305,zinc,zinc,锌
11306,have beautiful garden,have beautiful garden,有美丽的花园
11307,comuters,comuters,科莫特斯
11308,bunch of cigarettes,bunch of cigarettes,一堆香烟
11309,peole,peole,peole
11310,saltwater,saltwater,盐水的
11311,hypocrisy,hypocrisy,伪善
11312,workbooks,workbooks,工作簿
11313,petroleum jelly,petroleum jelly,凡士林
11314,plaster paris cast,plaster paris cast,巴黎石膏模型
11315,tiny foot,tiny foot,小脚
11316,take nap,take nap,午睡
11317,porch swing,porch swing,门廊秋千
11318,energetic music,energetic music,充满活力的音乐
11319,have physical examination,have physical examination,做身体检查
11320,tuner,tuner,调谐器
11321,uncooked food,uncooked food,生食
11322,common table,common table,公用表
11323,w2,w2,W2
11324,parent,parent,父母
11325,hole punch,hole punch,打孔
11326,secruity system,secruity system,安全系统
11327,medical tape,medical tape,医用胶带
11328,tea kettle,tea kettle,茶壶
11329,train ticket,train ticket,火车票
11330,word processing,word processing,文字处理
11331,anesthetic,anesthetic,麻醉剂
11332,sketches,sketches,草图
11333,desert menu,desert menu,甜点菜单
11334,indoor paint,indoor paint,室内涂料
11335,sweep move,sweep move,扫动
11336,canner,canner,罐头厂
11337,ornaments,ornaments,装饰
11338,sausage,sausage,香肠
11339,coreopsis,coreopsis,金鸡菊
11340,sunburn,sunburn,晒伤
11341,beginner book,beginner book,初学者手册
11342,toy train,toy train,玩具火车
11343,neon outfit,neon outfit,霓虹灯装
11344,vittles,vittles,vittles
11345,schoolwork,schoolwork,家庭作业
11346,dari language,dari language,达里语
11347,diet coke,diet coke,健怡可乐
11348,quaterback,quaterback,四元数
11349,bonjour,bonjour,你好
11350,clavichord,clavichord,古钢琴
11351,saxhorn,saxhorn,萨克斯号
11352,tennis shoe,tennis shoe,网球鞋
11353,battery puller,battery puller,电池牵引器
11354,satiation,satiation,饱足感
11355,stamp pad,stamp pad,邮票垫
11356,basketball jersey,basketball jersey,篮球运动衫
11357,oil,oil,油
11358,condominium,condominium,公寓
11359,bottle of mouthwash,bottle of mouthwash,一瓶漱口水
11360,store card,store card,赊账卡
11361,worker,worker,工人
11362,front courtyard,front courtyard,前院
11363,laptop charger,laptop charger,笔记本电脑充电器
11364,campaign manager,campaign manager,竞选经理
11365,skype,skype,Skype
11366,sextant,sextant,六分仪
11367,homework assignment,homework assignment,家庭作业
11368,orchid,orchid,兰花
11369,scorecard,scorecard,记分卡
11370,slacks,slacks,便裤
11371,libary card,libary card,libary卡
11372,soundstage,soundstage,摄影棚
11373,debit cardq,debit cardq,借记卡q
11374,tissue holder,tissue holder,纸巾架
11375,locksmith,locksmith,锁匠
11376,some shampoo,some shampoo,一些洗发水
11377,dead fly,dead fly,死苍蝇
11378,joker,joker,小丑
11379,mountail climber,mountail climber,登山运动员
11380,store flyer,store flyer,商店宣传单
11381,apricot,apricot,杏
11382,wash car,wash car,洗车
11383,centrifuge,centrifuge,离心机
11384,smoke detector,smoke detector,烟雾探测器
11385,stock account,stock account,股票账户
11386,barbiturate,barbiturate,巴比妥酸盐
11387,book lover,book lover,爱书人
11388,garden sheers,garden sheers,园艺师
11389,strap,strap,带子
11390,magnetic tool,magnetic tool,磁性工具
11391,eggplant,eggplant,茄子
11392,animals,animals,动物
11393,old dress,old dress,旧衣服
11394,plow,plow,犁
11395,sweatbands,sweatbands,汗血带
11396,amplifiers,amplifiers,放大器
11397,light bilb,light bilb,轻型bilb
11398,baking goods,baking goods,烘焙食品
11399,treadless shoes,treadless shoes,无踏脚鞋
11400,gym bag,gym bag,健身袋
11401,truck,truck,卡车
11402,sack,sack,解雇
11403,swiss cheese,swiss cheese,瑞士干酪
11404,payment option,payment option,付款方式
11405,important letter,important letter,重要信件
11406,online shopping cart,online shopping cart,网上购物车
11407,emergency contact card,emergency contact card,紧急联络卡
11408,rubber spatula,rubber spatula,橡胶刮刀
11409,room study,room study,客房书房
11410,transport,transport,运输
11411,go scubadiving,go scubadiving,去潜水吧
11412,item number,item number,项目编号
11413,paddleboard,paddleboard,桨板
11414,bank machine,bank machine,银行取款机
11415,knit,knit,编织
11416,amphitheater,amphitheater,圆形露天剧场
11417,good floor boards,good floor boards,好的地板
11418,backpack,backpack,背包
11419,fist,fist,拳
11420,handyman,handyman,杂活工
11421,fuzz,fuzz,绒毛
11422,excrete,excrete,排泄
11423,ginger pineapple chutney,ginger pineapple chutney,姜汁菠萝酸辣酱
11424,order a taxi,order a taxi,叫辆出租车
11425,schoolchildren,schoolchildren,学童
11426,mozart music,mozart music,莫扎特音乐
11427,fbi agent,fbi agent,联邦调查局探员
11428,travel kit,travel kit,旅行工具包
11429,year,year,年
11430,mandala,mandala,曼荼罗
11431,go to bathroom,go to bathroom,去洗手间
11432,sugar cube,sugar cube,方糖
11433,ace,ace,王牌
11434,train horse,train horse,训练马
11435,atm card,atm card,ATM卡
11436,apple tree,apple tree,苹果树
11437,good tires,good tires,好轮胎
11438,army,army,军队
11439,vacation home,vacation home,度假屋
11440,theater seat,theater seat,剧院座位
11441,policeman,policeman,警察
11442,wolf,wolf,狼
11443,trailor,trailor,拖车
11444,gauze,gauze,纱布
11445,musical group,musical group,音乐团体
11446,banana chutney,banana chutney,香蕉酸辣酱
11447,bookbag,bookbag,书包
11448,bottle of wine,bottle of wine,一瓶葡萄酒
11449,irish flag,irish flag,爱尔兰国旗
11450,summer clothes,summer clothes,夏装
11451,movie projector,movie projector,放映机
11452,notepads,notepads,记事本
11453,placemat,placemat,普拉玛特
11454,sheet music,sheet music,活页乐谱
11455,lab equipment,lab equipment,实验室设备
11456,bach,bach,巴赫
11457,lose weight,lose weight,减肥
11458,eviction papers,eviction papers,驱逐文件
11459,comfy shoes,comfy shoes,舒适的鞋子
11460,artist's picture,artist's picture,艺术家的画
11461,bad grade,bad grade,成绩不好
11462,cleets,cleets,夹板
11463,hand strap,hand strap,手带
11464,shose,shose,shose
11465,carnies,carnies,康乃馨
11466,screenwriter,screenwriter,编剧
11467,dog collar,dog collar,狗项圈
11468,top notch salesperson,top notch salesperson,一流的销售人员
11469,cut,cut,切
11470,some fees,some fees,一些费用
11471,graphitti,graphitti,graphitti
11472,phone contacts,phone contacts,电话联系人
11473,lesson plant,lesson plant,教训植物
11474,holiday shop,holiday shop,假日商店
11475,camaro,camaro,卡玛洛
11476,tatoos,tatoos,塔托斯
11477,suction,suction,吸
11478,farrier,farrier,蹄铁工
11479,soundsystem,soundsystem,音响系统
11480,stagehand,stagehand,舞台工作人员
11481,coffee paper cups,coffee paper cups,咖啡纸杯
11482,happiness,happiness,幸福
11483,telecommunications de,telecommunications de,电信
11484,good hand,good hand,好手
11485,filters,filters,过滤
11486,cannibalism,cannibalism,同类相食
11487,astronots,astronots,阿童木
11488,waterskipper,waterskipper,滑水者
11489,computer camera,computer camera,电脑摄影机
11490,guitar player,guitar player,吉他手
11491,cast and crew,cast and crew,演职人员
11492,talk,talk,谈话
11493,piss,piss,尿
11494,valley,valley,山谷
11495,weaves,weaves,织
11496,ballet attire,ballet attire,芭蕾舞服装
11497,raincoat,raincoat,雨衣
